target_var,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9
1,211.3375,0,0,bigollo-16,blue,29.0,1,sigma,112.87794148245936
1,151.55,2,1,cantor-33,pink,0.9167,1,sigma,60.291423340617406
0,151.55,2,1,cantor-33,blue,2.0,1,sigma,143.79410265574725
0,151.55,2,1,cantor-33,pink,30.0,1,sigma,131.27835242517
0,151.55,2,1,cantor-33,blue,25.0,1,sigma,204.41571605575584
1,26.55,0,0,euler-23,pink,48.0,1,sigma,75.97058173624448
1,77.9583,0,1,descrates-18,blue,63.0,1,sigma,125.8535205910631
0,0.0,0,0,allen-47,pink,39.0,1,sigma,103.63740081236631
1,51.4792,0,2,cantor-112,blue,53.0,1,sigma,94.42563651108387
0,49.5042,0,0,,pink,71.0,1,gamma,85.68763645367592
0,227.525,0,1,cantor-73,pink,47.0,1,gamma,125.17225556384442
1,227.525,0,1,cantor-73,blue,18.0,1,gamma,95.1348996441715
1,69.3,0,0,bigollo-46,blue,24.0,1,gamma,128.45502587420586
1,78.85,0,0,,blue,26.0,1,sigma,65.65728633892198
1,30.0,0,0,allen-34,pink,80.0,1,sigma,115.14475383706588
0,25.925,0,0,,pink,,1,sigma,192.91762216650966
0,247.5208,1,0,bigollo-69,pink,24.0,1,gamma,108.70464343427172
1,247.5208,1,0,bigollo-69,blue,50.0,1,gamma,165.23308313090325
1,76.2917,0,0,descrates-26,blue,32.0,1,gamma,154.37052776974133
0,75.2417,0,0,cantor-17,pink,36.0,1,gamma,52.23777638855894
1,52.5542,1,1,descrates-46,pink,37.0,1,sigma,135.94645275188827
1,52.5542,1,1,descrates-46,blue,47.0,1,sigma,171.90508613626167
1,30.0,0,0,cantor-159,pink,26.0,1,gamma,118.87276134238581
1,227.525,0,0,,blue,42.0,1,gamma,137.31947708191638
1,221.7792,0,0,cantor-108,blue,29.0,1,sigma,130.3675802891501
0,26.0,0,0,,pink,25.0,1,gamma,176.91145597771185
1,91.0792,0,1,bigollo-60,pink,25.0,1,gamma,-19.1778938586084
1,91.0792,0,1,bigollo-60,blue,19.0,1,gamma,90.11581921577114
1,135.6333,0,0,cantor-110,blue,35.0,1,sigma,162.2513916417574
1,26.55,0,0,cantor-63,pink,28.0,1,sigma,94.82114754355793
0,35.5,0,0,turing,pink,45.0,1,sigma,103.26682076906187
1,31.0,0,0,allen-42,pink,40.0,1,gamma,42.58569385811074
1,164.8667,0,0,cantor-18,blue,30.0,1,sigma,188.74843361063387
1,26.55,0,0,cantor-114,blue,58.0,1,sigma,20.892798616636114
0,26.55,0,0,descrates-33,pink,42.0,1,sigma,177.15550028208384
1,262.375,0,0,,blue,45.0,1,gamma,117.8283105758744
1,55.0,1,0,euler-44,blue,22.0,1,sigma,121.90322704488304
1,26.55,0,0,,pink,,1,sigma,100.45152245217403
0,30.5,0,0,allen-32,pink,41.0,1,sigma,126.11006394990676
0,50.4958,0,0,bigollo-21,pink,48.0,1,gamma,50.03614696041312
0,39.6,0,0,,pink,,1,gamma,93.38214306187982
1,27.7208,0,0,bigollo-15,blue,44.0,1,gamma,113.36988595832426
1,51.4792,0,2,cantor-112,blue,59.0,1,sigma,122.8531319321468
1,76.2917,0,0,descrates-26,blue,60.0,1,gamma,102.97729172441825
1,134.5,0,0,euler-51,blue,41.0,1,gamma,149.4213526790652
0,26.55,0,0,bigollo-49,pink,45.0,1,sigma,124.2751275255735
0,31.0,0,0,,pink,,1,sigma,164.66852780155872
1,26.2875,0,0,euler-35,pink,42.0,1,sigma,-86.13604580311844
1,27.4458,0,0,,blue,53.0,1,gamma,163.9897381578562
1,512.3292,1,0,bigollo-62,pink,36.0,1,gamma,156.8442743556513
1,512.3292,1,0,bigollo-62,blue,58.0,1,gamma,60.89753241189969
0,5.0,0,0,bigollo-62,pink,33.0,1,sigma,168.85769559738742
0,47.1,0,0,,pink,28.0,1,sigma,114.40306857974235
0,47.1,0,0,,pink,17.0,1,sigma,131.12205250476805
1,120.0,2,1,bigollo-107,pink,11.0,1,sigma,74.0465884225956
1,120.0,2,1,bigollo-107,blue,14.0,1,sigma,150.04618270114875
1,120.0,2,1,bigollo-107,pink,36.0,1,sigma,114.75677554014541
1,120.0,2,1,bigollo-107,blue,36.0,1,sigma,121.00367675430337
0,26.0,0,0,,pink,49.0,1,sigma,96.57148003475064
1,27.7208,0,0,,blue,,1,gamma,124.7961634423765
0,78.85,0,1,cantor-57,pink,36.0,1,sigma,124.2311397740593
1,78.85,0,1,cantor-57,blue,76.0,1,sigma,87.70242082117042
0,61.175,0,1,euler-42,pink,46.0,1,sigma,93.15154288106142
1,61.175,0,1,euler-42,blue,47.0,1,sigma,91.65170667709162
1,53.1,0,1,euler-19,pink,27.0,1,sigma,85.73986931097721
1,53.1,0,1,euler-19,blue,33.0,1,sigma,96.4439081093598
1,262.375,0,0,bigollo-72,blue,36.0,1,gamma,83.41808896283707
1,86.5,0,0,bigollo-88,blue,30.0,1,sigma,97.87157092524915
1,29.7,0,0,allen-20,pink,45.0,1,gamma,42.867529341666874
1,55.0,1,0,euler-44,blue,,1,sigma,4.919782199600164
0,0.0,0,0,,pink,,1,sigma,121.64185190619992
0,136.7792,0,1,cantor-100,pink,27.0,1,gamma,46.54065171644668
1,136.7792,0,1,cantor-100,blue,26.0,1,gamma,183.13006157497568
1,151.55,0,0,,blue,22.0,1,sigma,110.6639299566792
0,52.0,0,0,allen-25,pink,,1,sigma,117.77291697416385
0,25.5875,0,0,euler-69,pink,47.0,1,sigma,20.968406480364195
1,83.1583,1,1,euler-60,blue,39.0,1,gamma,156.78047183127313
0,83.1583,1,1,euler-63,pink,37.0,1,gamma,126.25833221569837
1,83.1583,2,0,euler-56,blue,64.0,1,gamma,96.94112085692575
1,25.7,0,2,cantor-112,blue,55.0,1,sigma,47.14783000556483
0,26.55,0,0,,pink,,1,sigma,134.12429951747626
0,71.0,1,1,bigollo-33,pink,70.0,1,sigma,62.3018604543723
1,71.0,2,0,bigollo-33,blue,36.0,1,sigma,141.07756130787075
1,26.55,1,1,bigollo-37,blue,64.0,1,sigma,112.20813554392662
0,71.2833,0,1,cantor-96,pink,39.0,1,gamma,42.1181885553069
1,71.2833,0,1,cantor-96,blue,38.0,1,gamma,142.45648094463056
1,26.55,0,0,euler-28,pink,51.0,1,sigma,73.44675612422046
1,30.5,0,0,,pink,27.0,1,sigma,53.02616850147491
1,151.55,0,0,,blue,33.0,1,sigma,105.92862012270831
0,52.0,0,1,bigollo-82,pink,31.0,1,sigma,17.153169442491674
1,52.0,2,1,bigollo-82,blue,27.0,1,sigma,75.24322048911758
1,57.0,0,1,bigollo-31,pink,31.0,1,sigma,16.990730999290605
1,57.0,0,1,bigollo-31,blue,17.0,1,sigma,188.03433476401983
1,81.8583,1,1,allen-45,pink,53.0,1,sigma,112.95106824075899
1,81.8583,2,0,allen-45,pink,4.0,1,sigma,129.84113381297777
1,81.8583,1,1,allen-45,blue,54.0,1,sigma,20.808021612380784
0,106.425,0,1,cantor-97,pink,50.0,1,gamma,62.665504159931
1,247.5208,1,1,bigollo-69,blue,27.0,1,gamma,190.87951987438396
1,106.425,0,1,cantor-97,blue,48.0,1,gamma,97.53113836635184
1,39.6,0,1,allen-27,blue,48.0,1,gamma,114.05902973060994
1,56.9292,0,1,allen-31,pink,49.0,1,gamma,63.35040219916597
0,29.7,0,0,allen-29,pink,39.0,1,gamma,69.13798031618246
1,83.1583,1,0,cantor-65,blue,23.0,1,gamma,11.310493950703687
1,227.525,0,0,cantor-56,blue,38.0,1,gamma,43.196899859936146
1,78.2667,0,1,descrates-31,blue,54.0,1,gamma,153.84713993027552
0,31.6792,0,0,allen-40,blue,36.0,1,gamma,157.8987184320386
0,221.7792,0,0,cantor-106,pink,,1,sigma,232.10796383408342
1,31.6833,0,0,,blue,,1,sigma,122.25785326992013
1,110.8833,0,0,,blue,,1,gamma,169.3784956816445
1,26.3875,0,0,euler-36,pink,36.0,1,sigma,33.88147087612117
0,27.75,0,0,cantor-122,pink,30.0,1,gamma,-10.41923498874155
1,263.0,2,3,cantor-34,blue,24.0,1,sigma,127.52437923045315
1,263.0,2,3,cantor-34,blue,28.0,1,sigma,109.93336764204567
1,263.0,2,3,cantor-34,blue,23.0,1,sigma,80.13311872738942
0,263.0,2,3,cantor-34,pink,19.0,1,sigma,97.89442338778632
0,263.0,4,1,cantor-34,pink,64.0,1,sigma,87.05249191128091
1,263.0,4,1,cantor-34,blue,60.0,1,sigma,73.65207747162918
1,56.9292,0,0,euler-47,blue,30.0,1,gamma,131.347608709233
0,26.55,0,0,descrates-45,pink,,1,sigma,61.913403630680264
1,133.65,0,2,,pink,50.0,1,sigma,62.97318411152704
1,27.7208,0,1,descrates-51,pink,43.0,1,gamma,65.71924882099579
1,133.65,0,1,,blue,,1,sigma,116.80173185153068
1,49.5,2,0,bigollo-50,blue,22.0,1,gamma,20.94280845690122
1,79.2,1,1,bigollo-52,pink,60.0,1,gamma,137.620064898878
1,79.2,1,1,bigollo-52,blue,48.0,1,gamma,171.09254663949264
0,0.0,0,0,bigollo-113,pink,,1,sigma,94.15028162711148
0,53.1,0,1,cantor-134,pink,37.0,1,sigma,80.71874621723096
1,53.1,0,1,cantor-134,blue,35.0,1,sigma,-0.31503193058580337
0,38.5,0,0,euler-74,pink,47.0,1,sigma,165.15049979422133
1,211.5,0,0,cantor-141,blue,35.0,1,gamma,15.637163285651496
1,59.4,1,0,,blue,22.0,1,gamma,33.55274434703989
1,59.4,1,0,,blue,45.0,1,gamma,112.9573312031407
0,79.2,0,0,bigollo-97,pink,24.0,1,gamma,115.30357203675064
1,89.1042,0,1,cantor-103,pink,49.0,1,gamma,45.30211440289149
1,89.1042,0,1,cantor-103,blue,,1,gamma,117.95572590256393
0,34.6542,0,0,allen-16,pink,71.0,1,gamma,34.66250865194172
1,28.5,0,0,cantor-62,pink,53.0,1,gamma,130.15866411958552
1,30.0,0,0,bigollo-53,blue,19.0,1,sigma,61.63684618898728
0,153.4625,1,0,cantor-102,pink,38.0,1,sigma,69.55420369073347
1,153.4625,1,0,cantor-136,blue,58.0,1,sigma,93.05741555376086
1,63.3583,1,0,descrates-21,pink,23.0,1,gamma,171.60784828964285
1,63.3583,1,0,descrates-21,blue,45.0,1,gamma,10.765644184734683
0,79.2,0,0,bigollo-93,pink,46.0,1,gamma,84.70156950899445
1,55.4417,0,1,euler-61,pink,25.0,1,gamma,116.47524603338243
1,55.4417,0,1,euler-61,blue,25.0,1,gamma,17.282374017069813
1,76.7292,0,1,descrates-44,pink,48.0,1,gamma,168.71872152027262
1,76.7292,0,1,descrates-44,blue,49.0,1,gamma,206.54603507239915
0,42.4,0,0,,pink,,1,sigma,127.56132412065773
0,83.475,0,1,cantor-94,pink,45.0,1,sigma,118.73846324906538
1,83.475,0,1,cantor-94,blue,35.0,1,sigma,93.62173141001982
0,0.0,0,0,bigollo-105,pink,40.0,1,sigma,9.002036995508831
1,76.7292,0,0,descrates-60,pink,27.0,1,gamma,67.13835054416606
1,30.0,0,0,descrates-56,pink,,1,sigma,66.30639514871832
1,83.1583,0,0,cantor-65,blue,24.0,1,gamma,133.9457473718075
0,93.5,1,1,bigollo-80,pink,55.0,1,sigma,169.97876888341943
1,93.5,1,1,bigollo-80,blue,52.0,1,sigma,90.0566363087745
0,42.5,0,0,bigollo-22,pink,42.0,1,sigma,145.37193700964465
0,51.8625,0,0,euler-57,pink,,1,sigma,54.34002215536068
0,50.0,0,0,cantor-50,pink,55.0,1,sigma,129.9799318609196
1,57.9792,1,0,bigollo-29,blue,16.0,1,gamma,154.408525230362
1,57.9792,1,0,bigollo-29,blue,44.0,1,gamma,84.18244053426938
1,77.9583,0,1,descrates-22,blue,51.0,1,sigma,96.61942937344989
0,52.0,0,1,,pink,42.0,1,sigma,96.63223115641188
1,52.0,0,1,,blue,35.0,1,sigma,120.54419263282394
1,26.55,0,0,,pink,35.0,1,gamma,51.74107314035128
1,90.0,0,1,cantor-104,pink,38.0,1,sigma,163.67983699708435
0,30.6958,0,0,,pink,,1,gamma,119.64933082524978
1,90.0,0,1,cantor-104,blue,35.0,1,sigma,93.66289497997064
1,80.0,0,0,bigollo-39,blue,38.0,1,,173.59223630810953
0,28.7125,0,0,cantor-60,blue,50.0,1,gamma,-13.217357428533845
1,0.0,0,0,bigollo-63,pink,49.0,1,sigma,7.153141677364857
0,26.0,0,0,,pink,46.0,1,sigma,137.4421205522558
0,26.0,0,0,euler-71,pink,50.0,1,sigma,68.55076773713529
0,211.5,0,0,cantor-143,pink,32.5,1,gamma,116.08723314561149
0,29.7,0,0,bigollo-48,pink,58.0,1,gamma,76.35439046944856
0,51.8625,0,1,descrates-32,pink,41.0,1,sigma,143.85950668986092
1,51.8625,0,1,descrates-32,blue,,1,sigma,79.92656153308533
1,52.5542,0,1,descrates-30,pink,42.0,1,sigma,194.30811513630775
1,52.5542,0,1,descrates-30,blue,45.0,1,sigma,99.32136991667315
0,26.55,0,0,cantor-135,pink,,1,sigma,38.056862859961306
1,211.3375,0,0,,blue,39.0,1,sigma,195.0652361864634
1,25.9292,0,0,descrates-28,blue,49.0,1,sigma,104.85615028098647
1,106.425,0,0,,blue,30.0,1,gamma,222.63135311879674
1,512.3292,0,0,bigollo-112,pink,35.0,1,gamma,87.21556637884544
0,27.7208,0,0,,pink,,1,gamma,48.706783483274286
0,26.55,0,0,,pink,42.0,1,sigma,90.03387821974009
1,27.7208,0,0,,blue,55.0,1,gamma,86.67104483069343
1,39.4,1,0,descrates-39,blue,16.0,1,sigma,-31.599920851136403
1,39.4,1,0,descrates-39,blue,51.0,1,sigma,91.67588735121203
0,30.0,0,0,descrates-17,pink,29.0,1,sigma,86.20854422082932
1,77.9583,0,0,descrates-20,blue,21.0,1,sigma,83.64918940648163
0,45.5,0,0,,pink,30.0,1,sigma,21.944099653642752
1,146.5208,0,0,bigollo-91,blue,58.0,1,gamma,100.79357603175791
1,211.3375,1,0,bigollo-16,blue,15.0,1,sigma,106.03286467536476
0,26.0,0,0,cantor-117,pink,30.0,1,sigma,61.481991839524866
1,86.5,0,0,bigollo-90,blue,16.0,1,sigma,181.56770517316306
1,29.7,0,0,cantor-58,pink,,1,gamma,54.57139473991807
0,53.1,0,1,descrates-41,pink,19.0,1,sigma,140.76389219747495
1,53.1,0,1,descrates-41,blue,18.0,1,sigma,115.14624409847983
1,49.5042,0,0,cantor-101,blue,24.0,1,gamma,116.5000237707563
0,75.2417,0,0,cantor-17,pink,46.0,1,gamma,187.6719741331964
0,51.8625,0,0,euler-57,pink,54.0,1,sigma,169.00391096272386
1,26.2875,0,0,euler-36,pink,36.0,1,sigma,3.5024915981393434
0,82.1708,0,1,,pink,28.0,1,gamma,137.42267733922085
1,82.1708,0,1,,blue,,1,gamma,119.10983381691949
0,26.55,0,0,euler-49,pink,65.0,1,sigma,62.29978558803067
0,90.0,0,2,cantor-89,pink,44.0,1,qoph,110.23199136175424
1,90.0,0,1,cantor-89,blue,33.0,1,qoph,87.39863626692352
1,90.0,0,1,cantor-89,blue,37.0,1,qoph,52.200984142506876
1,57.75,0,1,cantor-89,pink,30.0,1,gamma,125.239443873256
0,30.5,0,0,cantor-41,pink,55.0,1,sigma,174.11076185117327
0,42.4,0,0,,pink,47.0,1,sigma,146.82112492122178
0,29.7,1,0,cantor-129,pink,37.0,1,gamma,153.62920434222212
1,113.275,0,1,descrates-47,blue,31.0,1,gamma,116.63452504990356
1,113.275,0,1,descrates-47,blue,23.0,1,gamma,222.4622912429372
0,113.275,2,0,descrates-59,pink,58.0,1,gamma,-26.96487578341025
1,26.2833,2,0,descrates-58,blue,19.0,1,sigma,92.94877468378543
0,26.0,0,0,,pink,64.0,1,sigma,111.31657894454875
1,108.9,0,0,cantor-116,blue,39.0,1,gamma,55.27278563759028
1,25.7417,0,0,,pink,,1,gamma,84.58871690145737
1,61.9792,1,0,bigollo-47,blue,22.0,1,gamma,-93.97433274233103
0,61.9792,1,0,bigollo-41,pink,65.0,1,gamma,68.8531197254887
0,27.7208,0,0,descrates-54,pink,28.5,1,gamma,84.14134007800801
0,0.0,0,0,,pink,,1,sigma,105.34707091281018
0,28.5,0,0,cantor-135,pink,45.5,1,sigma,165.26801457078903
0,93.5,0,0,bigollo-35,pink,23.0,1,sigma,102.7607060087555
0,66.6,0,1,cantor-13,pink,29.0,1,sigma,141.60567324182034
1,66.6,0,1,cantor-13,blue,22.0,1,sigma,155.88983757594852
0,108.9,0,1,cantor-76,pink,18.0,1,gamma,46.88362752471761
1,108.9,0,1,cantor-76,blue,17.0,1,gamma,131.44408643809467
1,93.5,0,0,bigollo-84,blue,30.0,1,sigma,174.69704105625058
1,30.5,0,0,cantor-115,pink,52.0,1,sigma,102.23045420825261
0,52.0,0,0,cantor-121,pink,47.0,1,sigma,94.6549155289146
1,83.1583,1,0,cantor-61,blue,56.0,1,gamma,176.06954958896688
0,0.0,0,0,,pink,38.0,1,sigma,14.816740439392731
1,39.6,0,0,,pink,,1,sigma,88.39922833035351
0,135.6333,0,0,,pink,22.0,1,gamma,99.46818129973606
0,227.525,0,0,,pink,,1,gamma,54.64195584554797
1,211.3375,1,0,bigollo-14,blue,43.0,1,sigma,81.15855490872295
0,50.4958,0,0,allen-35,pink,31.0,1,sigma,82.09391736021729
1,26.55,0,0,,pink,45.0,1,sigma,67.77304333929936
0,50.0,0,0,allen-43,pink,,1,sigma,127.65759166962918
1,27.7208,0,0,allen-22,blue,33.0,1,gamma,91.61414971826757
0,79.2,0,0,,pink,46.0,1,gamma,53.606605152185594
0,40.125,0,0,allen-21,pink,36.0,1,gamma,92.35713356657405
1,86.5,0,0,bigollo-88,blue,33.0,1,sigma,8.284227901840836
0,59.4,0,1,,pink,55.0,1,gamma,124.22119748299814
1,59.4,0,1,,blue,54.0,1,gamma,40.46337552174831
0,26.55,0,0,,pink,33.0,1,sigma,39.87958392775482
1,262.375,2,2,bigollo-68,pink,13.0,1,gamma,80.82691473152641
1,262.375,2,2,bigollo-68,blue,18.0,1,gamma,128.62555910004812
1,262.375,2,2,bigollo-68,blue,21.0,1,gamma,130.239091935442
0,262.375,3,1,bigollo-68,pink,61.0,1,gamma,89.62423923141483
1,262.375,3,1,bigollo-68,blue,48.0,1,gamma,146.45658760438664
1,30.5,0,0,cantor-117,pink,,1,sigma,146.36804670864424
1,69.3,0,0,bigollo-46,blue,24.0,1,gamma,106.70719092357915
1,26.0,0,0,,pink,,1,sigma,101.99494789040524
1,57.75,0,1,cantor-39,blue,35.0,1,gamma,154.4051146703116
1,31.0,0,0,,blue,30.0,1,gamma,102.03918501376344
1,26.55,0,0,,pink,34.0,1,sigma,114.3396646537412
1,153.4625,0,0,cantor-136,blue,40.0,1,sigma,89.34358055550356
1,26.2875,0,0,euler-35,pink,35.0,1,sigma,136.10548807124795
0,55.9,0,1,euler-55,pink,50.0,1,sigma,93.36888260315062
1,55.9,0,1,euler-55,blue,39.0,1,sigma,141.54406109536654
1,35.5,0,0,allen-37,pink,56.0,1,gamma,112.82540863931999
1,35.5,0,0,allen-17,pink,28.0,1,sigma,116.75676762868275
0,26.55,0,0,,pink,56.0,1,sigma,91.32895379171134
0,30.6958,0,0,allen-18,pink,56.0,1,gamma,57.65120683082842
0,60.0,0,1,cantor-42,pink,24.0,1,sigma,199.4751330310632
0,26.0,0,0,allen-30,pink,,1,sigma,120.25697903470785
1,60.0,0,1,cantor-42,blue,18.0,1,sigma,63.59944248091496
1,82.2667,0,1,bigollo-56,pink,24.0,1,sigma,160.5185605518618
1,82.2667,0,1,bigollo-56,blue,23.0,1,sigma,175.27550897193595
1,134.5,2,0,euler-45,pink,6.0,1,gamma,77.7314071337416
1,134.5,1,1,euler-45,pink,45.0,1,gamma,93.26066238907902
1,134.5,1,1,euler-45,blue,40.0,1,gamma,-21.49595370568808
0,146.5208,0,1,bigollo-89,pink,57.0,1,gamma,91.3557623530069
1,146.5208,0,1,bigollo-89,blue,,1,gamma,134.86210883667604
1,30.5,0,0,bigollo-61,pink,32.0,1,gamma,88.97115521263521
0,26.55,0,0,cantor-98,pink,62.0,1,sigma,132.64024647873063
1,55.4417,0,1,cantor-127,pink,54.0,1,gamma,26.91364533387741
1,55.4417,0,1,cantor-127,blue,43.0,1,gamma,144.87016684902113
1,78.2667,0,1,descrates-31,blue,52.0,1,gamma,27.43915694312362
0,27.7208,0,0,,pink,,1,gamma,126.16164773378745
1,80.0,0,0,bigollo-39,blue,62.0,1,,99.1399448749964
0,221.7792,0,1,cantor-66,pink,67.0,1,sigma,125.90553374182292
0,221.7792,0,1,cantor-66,blue,63.0,1,sigma,73.92084127383791
0,32.3208,0,0,descrates-61,pink,61.0,1,sigma,150.19607592215053
